類別	代碼	名稱	法人進出	"人壽金控
進出"	"400張以上
增減"	"千張以上
增減"	"內部大戶
增減"	"400張以上
增減占比"	"千張以上
增減占比"	"內部大戶
增減占比"	"內部大戶
買賣超"	外資	投信	"內部大戶
半年內持股"	股價	股價漲幅
櫃半導	3527	聚積	-40.0	0.0	1713.0	1027	1740	4.18%	2.51%	4.25%	賣轉買	買轉賣			91.0	-0.33%
通信網路	3311	閎暉	-305.0	0.0	107.0	2039	2265	0.18%	3.40%	3.77%	賣轉買	買轉賣		創新高	29.45	-10.08%
櫃通信	6170	統振	-307.0	0.0	2661.0	2797	3027	2.97%	3.12%	3.38%	賣轉買	買轉賣			16.9	-2.59%
櫃電機	8027	鈦昇	159.0	0.0	1164.0	2810	2694	1.43%	3.45%	3.31%	賣轉買	連二週買超		創新高	47.25	12.77%
櫃半導	4973	廣穎	-454.0	0.0	614.0	1505	1842	0.97%	2.37%	2.90%	連二週買超	買轉賣		創新高	25.65	-6.22%
櫃電腦	3483	力致	-861.0	0.0	1140.0	1037	1760	1.87%	1.70%	2.88%	賣轉買	賣轉買	連三週賣超		59.4	-11.74%
電子零組件	2367	燿華	2001.0	0.0	25215.0	18272	16678	4.07%	2.95%	2.69%	連二週買超	連三週賣超		創新高	26.2	10.32%
生技醫療	1786	科妍	-235.0	0.0	1319.0	-17	1487	2.27%	-0.03%	2.56%	賣轉買	買轉賣			61.8	-7.21%
通信網路	3380	明泰	1960.0	0.0	13608.0	15291	13746	2.51%	2.82%	2.54%				創新高	27.0	-0.18%
櫃他電	3067	全域	-970.0	0.0	0.0	0	714	0.00%	0.00%	2.46%	連三週買超	連三週賣超		創新高	26.85	6.97%
生技醫療	1760	寶齡富錦	-686.0	-330.0	1081.0	7	1878	1.41%	0.01%	2.45%	賣轉買	連三週買超	連三週賣超		126.0	-5.26%
櫃電零	8155	博智	-573.0	2.0	794.0	0	1175	1.60%	0.00%	2.36%	賣轉買	連三週賣超	連三週賣超	創新高	142.0	-3.73%
櫃生技	4107	邦特	-369.0	0.0	1229.0	3097	1478	1.77%	4.47%	2.13%	連三週買超	買轉賣	賣轉買	創新高	133.5	-4.64%
半導體	2458	義隆	-4820.0	0.0	3078.0	5165	6473	1.01%	1.70%	2.13%	連三週買超	買轉賣	連三週買超	創新高	126.5	10.00%
電腦週邊	8210	勤誠	250.0	0.0	2546.0	1843	2370	2.13%	1.54%	1.98%	賣轉買	連二週買超		創新高	98.6	1.34%
櫃電零	6158	禾昌	-27.0	0.0	473.0	1021	1042	0.90%	1.94%	1.98%	賣轉買	買轉賣		創新高	23.3	-1.27%
電子零組件	8046	南電	3073.0	-244.0	9704.0	14409	12271	1.50%	2.23%	1.90%	連二週買超	連二週賣超	連二週買超		65.4	8.28%
通信網路	4977	眾達-KY	-769.0	0.0	750.0	103	1275	1.09%	0.15%	1.86%	賣轉買	連二週買超	買轉賣		121.5	-8.65%
光電	6164	華興	-40.0	0.0	1274.0	1730	1760	1.27%	1.73%	1.76%	賣轉買	買轉賣		創新高	6.16	1.32%
電子零組件	3653	健策	-25.0	2.0	2098.0	931	2110	1.73%	0.77%	1.74%	連三週買超	賣轉買	連二週賣超		278.5	10.74%
通信網路	3047	訊舟	-191.0	0.0	1687.0	2983	3129	0.90%	1.60%	1.68%	賣轉買	買轉賣			9.05	3.90%
貿易百貨	2906	高林	47.0	0.0	2229.0	3533	3498	1.07%	1.69%	1.67%	連二週買超	賣轉買		創新高	12.1	-0.82%
櫃資服	5210	寶碩	11.0	0.0	211.0	1063	1055	0.33%	1.67%	1.66%	連三週買超	連二週買超		創新高	6.48	3.18%
半導體	3094	聯傑	191.0	0.0	693.0	1515	1372	0.82%	1.79%	1.62%	賣轉買	連三週買超		創新高	19.1	-9.26%
櫃半導	6510	精測	-158.0	21.0	481.0	6	515	1.47%	0.02%	1.57%	賣轉買	買轉賣	賣轉買		675.0	3.05%
櫃電零	3217	優群	-227.0	0.0	1119.0	623	1277	1.36%	0.76%	1.56%	賣轉買	賣轉買	連二週賣超		97.0	-5.83%
櫃生技	4736	泰博	-209.0	0.0	1243.0	937	1367	1.37%	1.03%	1.50%					269.5	-4.77%
櫃半導	5299	杰力	-408.0	0.0	247.0	0	526	0.70%	0.00%	1.49%	賣轉買	連二週賣超	賣轉買		113.0	-8.13%
櫃半導	4966	譜瑞-KY	-295.0	-44.0	1059.0	720	1159	1.32%	0.90%	1.45%	連三週買超	連三週賣超	賣轉買		945.0	8.50%
電腦週邊	6414	樺漢	211.0	-8.0	1312.0	936	1186	1.57%	1.12%	1.42%	連三週買超	連三週賣超	連二週買超		211.5	-2.53%
汽車	3346	麗清	-1.0	0.0	139.0	1038	1039	0.18%	1.37%	1.37%	賣轉買	買轉賣		創新高	25.05	-2.34%
通信網路	5388	中磊	-752.0	-16.0	2850.0	5180	3414	1.14%	2.08%	1.37%	賣轉買	連三週賣超		創新高	75.4	-0.79%
其他	9919	康那香	-1790.0	0.0	-839.0	1289	2615	-0.43%	0.66%	1.34%	賣轉買	連二週賣超	連三週賣超		48.55	12.91%
營建	5534	長虹	-17.0	-4.0	3855.0	3687	3871	1.33%	1.27%	1.33%	連三週買超	賣轉買		創新高	88.8	0.00%
貿易百貨	2929	淘帝-KY	-343.0	0.0	1013.0	-1158	1262	1.07%	-1.22%	1.33%	賣轉買	連三週賣超			53.3	-11.90%
櫃電零	6203	海韻電	-156.0	0.0	-24.0	935	1047	-0.03%	1.17%	1.31%	賣轉買	買轉賣			57.7	-0.17%
櫃生技	8403	盛弘	-219.0	0.0	367.0	1178	1340	0.36%	1.15%	1.31%					39.9	-2.33%
電機	8374	羅昇	27.0	0.0	466.0	1425	1405	0.42%	1.27%	1.25%	連三週買超	連二週買超		創新高	20.95	-5.63%
櫃光電	5251	天鉞電	5.0	0.0	332.0	446	442	0.94%	1.26%	1.25%	連二週買超	連二週買超			13.95	-1.41%
櫃半導	5483	中美晶	-7888.0	106.0	1417.0	1582	7256	0.24%	0.27%	1.24%	連三週買超	連三週賣超	連三週賣超	創新高	91.5	-0.33%
其他	9902	台火	4.0	0.0	618.0	1196	1192	0.63%	1.22%	1.22%	賣轉買	連二週買超		創新高	9.66	5.81%
生技醫療	1598	岱宇	-788.0	0.0	-811.0	454	1452	-0.68%	0.38%	1.21%					49.45	-0.10%
其它電子	3305	昇貿	-11.0	0.0	1.0	1419	1427	0.00%	1.20%	1.21%	賣轉買	買轉賣		創新高	20.15	-2.18%
其他	8033	雷虎	63.0	0.0	402.0	1396	1348	0.36%	1.24%	1.20%	賣轉買	連二週買超			8.7	6.62%
櫃貿易	3171	新洲	-84.0	0.0	694.0	645	707	1.17%	1.09%	1.19%	連二週買超	買轉賣		創新高	24.0	2.13%
光電	6176	瑞儀	-3020.0	0.0	3339.0	2371	5538	0.72%	0.51%	1.19%	連二週買超	連三週賣超	連三週買超	創新高	113.5	-0.87%
光電	2393	億光	-683.0	1.0	3968.0	4744	5272	0.89%	1.07%	1.19%	連三週買超	連三週賣超		創新高	32.15	-2.87%
櫃資服	8099	大世科	14.0	0.0	215.0	1053	1043	0.24%	1.19%	1.18%				創新高	20.85	5.30%
櫃半導	6532	瑞耘	-503.0	0.0	-70.0	0	356	-0.22%	0.00%	1.13%					75.0	-7.52%
半導體	2342	茂矽	-89.0	0.0	-520.0	1657	1723	-0.33%	1.06%	1.10%	連三週買超	買轉賣		創新高	29.55	-7.66%
半導體	2436	偉詮電	544.0	0.0	-60.0	2314	1905	-0.03%	1.30%	1.07%	賣轉買	連二週買超			26.95	-2.71%
生技醫療	4133	亞諾法	558.0	0.0	853.0	1041	643	1.41%	1.72%	1.06%	連二週買超	賣轉買			70.0	2.79%
電機	1526	日馳	-864.0	0.0	-547.0	0	637	-0.91%	0.00%	1.06%	連二週買超	連二週賣超			30.3	-15.01%
櫃半導	6147	頎邦	-3134.0	17.0	4510.0	8636	6933	0.69%	1.32%	1.06%	賣轉買	連三週賣超	連三週買超		61.0	-2.87%
光電	3563	牧德	180.0	0.0	570.0	0	468	1.27%	0.00%	1.05%	連三週買超	賣轉買	連三週賣超		322.0	-3.01%
櫃半導	3227	原相	89.0	59.0	1566.0	-515	1447	1.12%	-0.37%	1.04%	賣轉買	連三週賣超	連三週買超		163.0	-4.12%
半導體	8150	南茂	2886.0	0.0	5653.0	9817	7501	0.78%	1.35%	1.03%	連三週買超	賣轉買	賣轉買		33.25	-0.30%
櫃半導	6462	神盾	-1292.0	0.0	-96.0	-1591	736	-0.13%	-2.23%	1.03%	賣轉買	買轉賣	連三週賣超		188.0	-5.53%
半導體	3041	揚智	485.0	0.0	686.0	2348	1981	0.36%	1.22%	1.03%	連二週買超	賣轉買		創新高	18.0	1.12%
電子通路	2347	聯強	-5748.0	0.0	6351.0	11508	16619	0.38%	0.69%	1.00%	賣轉買	買轉賣	連三週買超	創新高	46.05	1.77%
光電	6131	鈞泰	0.0	0.0	-819.0	998	999	-0.80%	0.98%	0.98%	連二週買超				2.4	-0.41%
櫃半導	3675	德微	6.0	0.0	-214.0	439	435	-0.48%	0.99%	0.98%	連二週買超	買轉賣		創新高	70.4	13.55%
櫃生技	4168	醣聯	-1107.0	0.0	-1.0	-16	802	-0.00%	-0.02%	0.98%	連三週買超	連二週賣超		創新高	30.3	20.00%
電子零組件	4915	致伸	-1430.0	0.0	3104.0	3858	4198	0.69%	0.86%	0.94%	連二週買超	連三週賣超	連三週買超	創新高	49.1	-0.91%
櫃半導	5425	台半	-1014.0	0.0	-398.0	1571	2332	-0.16%	0.63%	0.93%	賣轉買	連二週賣超	買轉賣		40.7	-10.06%
生技醫療	4746	台耀	233.0	-6.0	1796.0	1158	994	1.66%	1.07%	0.92%	連二週買超	賣轉買			49.6	-3.13%
櫃電零	3202	樺晟	193.0	0.0	1760.0	1218	1074	1.50%	1.04%	0.92%	賣轉買	賣轉買		創新高	18.2	-9.68%
其它電子	8021	尖點	-96.0	0.0	-1025.0	1222	1294	-0.72%	0.86%	0.91%	賣轉買	買轉賣			20.8	0.97%
電子零組件	3533	嘉澤	-2132.0	0.0	-182.0	1169	940	-0.18%	1.13%	0.91%	賣轉買	連三週買超	連三週賣超		390.0	-1.89%
貿易百貨	2939	凱羿-KY	-26.0	0.0	393.0	-9	410	0.86%	-0.02%	0.90%	賣轉買	買轉賣			121.5	-5.45%
電腦週邊	3017	奇鋐	-2729.0	20.0	-1730.0	1095	3154	-0.49%	0.31%	0.89%				創新高	39.3	-3.91%
電腦週邊	5264	鎧勝-KY	1032.0	6.0	1395.0	4498	3709	0.33%	1.07%	0.88%	賣轉買	連二週買超	買轉賣		56.2	9.34%
汽車	2233	宇隆	-163.0	0.0	409.0	415	525	0.68%	0.69%	0.87%	賣轉買	買轉賣			64.0	-5.04%
半導體	3443	創意	-1280.0	125.0	477.0	469	1162	0.36%	0.35%	0.87%	賣轉買	買轉賣	連二週買超		216.5	-5.46%
電子零組件	8039	台虹	-1504.0	6.0	-1482.0	690	1802	-0.71%	0.33%	0.86%	賣轉買	買轉賣			45.9	-5.46%
電機	1590	亞德客-KY	-1539.0	0.0	845.0	604	1570	0.45%	0.32%	0.83%	賣轉買	連二週賣超	連二週賣超		496.0	0.61%
紡織	1445	大宇	-51.0	0.0	-1082.0	1034	1073	-0.82%	0.78%	0.81%	賣轉買	買轉賣			9.0	6.89%
電腦週邊	6591	動力-KY	-312.0	0.0	0.0	0	226	0.00%	0.00%	0.80%	賣轉買	買轉賣			45.95	-9.01%
光電	6706	惠特	540.0	0.0	894.0	1755	534	1.34%	2.63%	0.80%	連三週買超	連二週買超	連三週買超	創新高	152.5	1.67%
電子零組件	2484	希華	-728.0	0.0	-635.0	717	1265	-0.40%	0.45%	0.79%	連二週買超	買轉賣		創新高	20.0	-7.19%
櫃他電	3508	位速	43.0	0.0	150.0	838	806	0.15%	0.82%	0.79%	賣轉買	連三週買超			18.8	-7.84%
